family,species,plant,LM,SEM,TEM
Caprifoliaceae,Abelia grandiflora,[],"['2015484', '2015485']",[],[]
Oleaceae,Abeliophyllum distichum,['1017133'],[],"['1017134', '1017135', '1017136']",[]
Pinaceae,Abies cephalonica,['1011649'],[],"['1011650', '1011651', '1011652']",[]
Pinaceae,Abies concolor,['1209573'],[],"['1209565', '1209567', '1209569']",[]
Pinaceae,Abies nordmanniana,['1016888'],"['2010870', '2010871']","['1016889', '1016891', '1016890']",[]
Malvaceae,Abutilon theophrasti,['2002719'],"['2012271', '2012272']","['2002727', '2002724', '2002721']",[]
Malvaceae,Callianthe megapotamica,[],"['2016672', '2016673']",[],[]
Fabaceae,Acacia binervia,['1016488'],[],"['1016489', '1016490', '1016491']",[]
Fabaceae,Acacia dealbata,['2003008'],[],"['2003014', '2003013', '2003015']",[]
Fabaceae,Acacia erioloba,[],"['2016102', '2016103']",[],[]
Fabaceae,Acacia heteroclith,['1020318'],[],"['1020319', '1020320', '1020321']",[]
Fabaceae,Acacia karroo,['1018224'],"['2016423', '2016424']","['1018225', '1018226', '1018227']",[]
Fabaceae,Acacia myrtifolia,[],[],"['1016785', '1016786', '1016787']",[]
Fabaceae,Acacia ornata,[],[],"['1010822', '1010823', '1010824']",[]
Fabaceae,Acacia raddiana,[],"['2017626', '2017627']",[],[]
Fabaceae,Acacia rigens,[],"['2016462', '2016463']",[],[]
Fabaceae,Acacia seyal,[],"['2016294', '2016295']",[],[]
Fabaceae,Acacia verticillata,['1010478'],[],"['1010480', '1010481', '1010482']",[]
Rosaceae,Acaena magellanica,[],"['2016738', '2016739']",[],[]
Rosaceae,Acaena microphylla,[],[],"['1020217', '1020218', '1020219']",[]
Euphorbiaceae,Acalypha macrostachya,['2004262'],[],"['2004273', '2004275', '2004266']",[]
Plumbaginaceae,Acantholimon glumaceum,[],[],"['1015131', '1015132', '1015133']",[]
Araliaceae,Acanthopanax gracilistylus,[],"['2015784', '2015785']",[],[]
Bromeliaceae,Acanthostachys pitcairnioides,[],[],"['2005205', '2005199', '2005200']",[]
Bromeliaceae,Acanthostachys strobilacea,[],[],"['2001183', '2001184', '2001186']",[]
Acanthaceae,Acanthus hungaricus,[],"['2014873', '2014874']",[],[]
Acanthaceae,Acanthus longifolius,['1012336'],[],"['1012337', '1012338', '1012339']",[]
Acanthaceae,Acanthus mollis,[],"['2013234', '2013235']",[],[]
Acanthaceae,Acanthus montanus,[],"['2015601', '2015602']",[],[]
Myrtaceae,Acca sellowiana,['1010295'],"['1010296', '2015451']","['1010297', '1010298', '1010299']",[]
Sapindaceae,Acer campestre,[],"['2012181', '2012182']","['1017027', '1017028', '1017030']","['1016684', '1016685']"
Sapindaceae,Acer griseum,[],"['2016513', '2016514']",[],[]
Sapindaceae,Acer hyrcanum,[],"['2014268', '2014269']",[],[]
Sapindaceae,Acer macrophyllum,[],"['2016309', '2016310']",[],[]
Sapindaceae,Acer negundo,['1022585'],"['1022586', '1022587']","['1022590', '1022591', '1022593']","['1022598', '1022599', '1022600']"
Sapindaceae,Acer obtusatum,[],"['2014274', '2014275']","['1016428', '1016430', '1016431']",[]
Sapindaceae,Acer opalus,[],"['2012175', '2012176']",[],[]
Sapindaceae,Acer palmatum,['1202663'],[],"['1202658', '1202660', '1202656']",[]
Sapindaceae,Acer platanoides,['1022564'],"['1022566', '1022567']","['1022570', '1022571', '1022573']","['1022580', '1022581', '1022582']"
Sapindaceae,Acer pseudoplatanus,['1022645'],"['1022647', '1022648']","['1022651', '1022652', '1022654']","['1022661', '1022662', '1022663']"
Sapindaceae,Acer saccharinum,['1022604'],"['1022606', '1022607']","['1022610', '1022611', '1022613']","['1022620', '1022621', '1022622']"
Sapindaceae,Acer tataricum,['1016596'],"['2012184', '2012185']","['1016597', '1016598', '1016599']",[]
Orchidaceae,Aceras anthropophorum,['1020674'],[],"['1020675', '1020676', '1020677']",[]
Saxifragaceae,Aceriphyllum rossii,['1210163'],[],"['1210161', '1210162', '1210157']",[]
Asteraceae,Achillea abrotanoides,['2003025'],[],"['2003031', '2003032', '2003030']",[]
Asteraceae,Achillea ageratifolia,['1017628'],[],"['1017630', '1017631', '1017632']",[]
Asteraceae,Achillea ageratum,[],"['2013521', '2013522']",[],[]
Asteraceae,Achillea aspleniifolia,[],"['2014277', '2014278']",[],[]
Asteraceae,Achillea atrata,['1206425'],"['2013518', '2013519']","['1206421', '1206427', '1206420']",[]
Asteraceae,Achillea clavennae,['1202454'],"['2015376', '2015377']","['1202450', '1202456', '1202452']",[]
Asteraceae,Achillea clusiana,[],"['2014594', '2014595']",[],[]
Asteraceae,Achillea collina,[],"['2014280', '2014281']",[],[]
Asteraceae,Achillea distans,[],"['2014283', '2014284']",[],[]
Asteraceae,Achillea erba-rotta,['2006088'],[],"['2006093', '2006089', '2006091']",[]
Asteraceae,Achillea millefolium,['1018259'],"['2014286', '2014287']","['1018260', '1018261', '1018262']",[]
Asteraceae,Achillea moschata,[],[],"['1203249', '1203248', '1203252']",[]
Asteraceae,Achillea nana,['2006096'],[],"['2006101', '2006099', '2006097']",[]
Asteraceae,Achillea pannonica,[],"['2014289', '2014290']",[],[]
Asteraceae,Achillea pratensis,[],"['2016282', '2016283']",[],[]
Asteraceae,Achillea ptarmica,[],"['2014301', '2014302']",[],[]
Asteraceae,Achillea roseoalba,[],"['2014292', '2014293']",[],[]
Asteraceae,Achillea schurii,[],"['2014298', '2014299']","['1216273', '1216277', '1216280']",[]
Asteraceae,Achillea serbica,[],"['2015409', '2015410']",[],[]
Asteraceae,Achillea setacea,[],"['2014295', '2014296']",[],[]
Asteraceae,Achillea tomentosa,['2005207'],[],"['2005214', '2005209', '2005211']",[]
Gesneriaceae,Achimenes erecta,['1015036'],[],"['1015038', '1015039', '1015040']",[]
Amaranthaceae,Achyranthes aspera,['2010042'],[],"['2010043', '2010044', '2010049']",[]
Calyceraceae,Acicarpha tribuloides,[],[],"['2004373', '2004379', '2004377']",[]
Iridaceae,Acidanthera bicolor,[],"['2014576', '2014577']",[],[]
Lamiaceae,Acinos alpinus,['1023272'],"['1023273', '1023274']","['1023280', '1023281', '1023282']","['1023288', '1023293', '1023292']"
Lamiaceae,Acinos arvensis,['1017404'],"['1023218', '1023219']","['1017405', '1017406', '1017407']",[]
Amaryllidaceae,Acis autumnalis,['1211166'],[],"['1211162', '1211163', '1211161']",[]
Amaryllidaceae,Acis ionica,[],[],"['2003346', '2003349', '2003351']",[]
Melastomataceae,Acisanthera quadrata,['2004278'],[],"['2004288', '2004290', '2004281']",[]
Apocynaceae,Acokanthera oblongifolia,['1018442'],[],"['1018443', '1018444', '1018445']",[]
Ranunculaceae,Aconitum anthora,[],"['2011233', '2011234']",[],[]
Ranunculaceae,Aconitum columbianum,[],"['2016936', '2016937']",[],[]
Ranunculaceae,Aconitum lycoctonum,['1012688'],"['2011230', '2011231']","['1012689', '1012690', '1012691']",[]
Ranunculaceae,Aconitum napellus,['1017682'],"['1017683', '1017684']","['1017686', '1017687', '1017689']","['1011004', '1011005', '1011006']"
Ranunculaceae,Aconitum tauricum,[],"['2016597', '2016598']",[],[]
Acoraceae,Acorus calamus,['2018236'],[],"['2018237', '2018239', '2018240']",[]
Ranunculaceae,Actaea asiatica,[],[],"['2006631', '2006633', '2006634']",[]
Ranunculaceae,Actaea japonica,['2003399'],[],"['2003406', '2003403', '2003404']",[]
Ranunculaceae,Actaea spicata,['1022531'],"['1022532', '1022533']","['1022536', '1022537', '1022538']","['1022543', '1022542', '1022544']"
Actinidiaceae,Actinidia arguta,['2004913'],[],"['2004915', '2004914', '2004918']",[]
Actinidiaceae,Actinidia chinensis,['2004442'],[],"['2004540', '2004451', '2004445']",[]
Malvaceae,Adansonia gregorii,['1015245'],[],"['1015246', '1015247', '1015248']",[]
Acanthaceae,Adathoda schimperana,[],[],"['1015394', '1015395', '1015396']",[]
Boraginaceae,Adelocaryum coelestinum,[],[],"['2005802', '2005804', '2005803']",[]
Proteaceae,Adenanthos sericeus,[],[],"['2005638', '2005636', '2005637']",[]
Passifloraceae,Adenia fruticosa,['1018688'],[],"['1018689', '1018690', '1018691']",[]
Campanulaceae,Adenophora divaricata,[],"['2016474', '2016475']",[],[]
Campanulaceae,Adenophora liliifolia,[],"['2013413', '2013414']",[],[]
Asteraceae,Adenostyles alpina,[],"['2017388', '2017389']",[],[]
Asteraceae,Adenostyles leucophylla,['2006269'],[],"['2006270', '2006272', '2006273']",[]
Rubiaceae,Adina pilulifera,['1212713'],[],"['1212711', '1212708', '1212712']",[]
Rubiaceae,Adina rubella,['1019569'],[],"['1019570', '1019571', '1019572']",[]
Ranunculaceae,Adonis aestivalis,['1020719'],"['1020720', '1020721']","['1020724', '1020725', '1020727']","['1020730', '1020731', '1020732']"
Ranunculaceae,Adonis flammea,[],"['2011284', '2011285']",[],[]
Ranunculaceae,Adonis vernalis,['1208450'],"['1012946', '1012947']","['1012950', '1012951', '1012952']","['1012956', '1012957', '1012958']"
Adoxaceae,Adoxa moschatellina,['2017867'],"['2013318', '2013319']","['2017875', '2017878', '2017872']",[]
Bromeliaceae,Aechmea abbreviata,[],[],"['2007651', '2007649', '2007647']",[]
Bromeliaceae,Aechmea alba,[],[],"['2008843', '2008841', '2008839']",[]
Bromeliaceae,Aechmea allenii,['1020243'],[],"['1020244', '1020245', '1020246']",[]
Bromeliaceae,Aechmea altocaririensis,[],[],"['2004019', '2004018', '2004020']",[]
Bromeliaceae,Aechmea amorimii,[],[],"['2007496', '2007495', '2007492']",[]
Bromeliaceae,Aechmea ampla,[],[],"['1216112', '1216114', '1216109']",[]
Bromeliaceae,Aechmea andersoniana,[],[],"['2004034', '2004031', '2004030']",[]
Bromeliaceae,Aechmea angustifolia,[],[],"['2007215', '2007216', '2007218']",[]
Bromeliaceae,Aechmea aquilega,[],[],"['1215160', '1215156', '1215162']",[]
Bromeliaceae,Aechmea araneosa,[],[],"['1209619', '1209621', '1209617']",[]
Bromeliaceae,Aechmea atrovittata,[],[],"['2003433', '2003429', '2003430']",[]
Bromeliaceae,Aechmea azurea,[],[],"['1014636', '1014637', '1014638']",[]
Bromeliaceae,Aechmea bahiana,[],[],"['2004921', '2004924', '2004920']",[]
Bromeliaceae,Aechmea bambusoides,[],[],"['2002733', '2002736', '2002734']",[]
Bromeliaceae,Aechmea bicolor,[],[],"['1215247', '1215252', '1215248']",[]
Bromeliaceae,Aechmea blanchetiana,[],[],"['1215033', '1215037', '1215036']",[]
Bromeliaceae,Aechmea bracteata,[],[],"['2005789', '2005787', '2005788']",[]
Bromeliaceae,Aechmea bromeliifolia,[],[],"['2005108', '2005102', '2005105']",[]
Bromeliaceae,Aechmea bruggeri,[],[],"['2008921', '2008923', '2008922']",[]
Bromeliaceae,Aechmea caesia,[],[],"['1010400', '1010401', '1010402']",[]
Bromeliaceae,Aechmea calyculata,[],[],"['1214249', '1214251', '1214252']",[]
Bromeliaceae,Aechmea cariocae,[],[],"['2007219', '2007223', '2007222']",[]
Bromeliaceae,Aechmea caudata,[],[],"['1011113', '1011114', '1011115']",[]
Bromeliaceae,Aechmea chantinii,[],[],"['2004038', '2004037', '2004039']",[]
Bromeliaceae,Aechmea comata,[],[],"['2005783', '2005780', '2005781']",[]
Bromeliaceae,Aechmea cylindrata,[],[],"['1202265', '1202264', '1202267']",[]
Bromeliaceae,Aechmea dealbata,['1013314'],[],"['1013315', '1013316', '1013317']",[]
Bromeliaceae,Aechmea digitata,[],[],"['2006355', '2006352', '2006356']",[]
Bromeliaceae,Aechmea disjuncta,[],[],"['2003851', '2003849', '2003848']",[]
Bromeliaceae,Aechmea distichantha,[],[],"['1010045', '1010046', '1010047']",[]
Bromeliaceae,Aechmea drakeana,[],[],"['1015516', '1015517', '1015518']",[]
Bromeliaceae,Aechmea echinata,[],[],"['2004384', '2004382', '2004387']",[]
Bromeliaceae,Aechmea egleriana,[],[],"['2008279', '2008277', '2008284']",[]
Bromeliaceae,Aechmea fasciata,[],[],"['1200495', '1200491', '1200493']",[]
Bromeliaceae,Aechmea fendleri,[],[],"['2007228', '2007232', '2007226']",[]
Bromeliaceae,Aechmea filicaulis,[],[],"['1213254', '1213256', '1213253']",[]
Bromeliaceae,Aechmea floribunda,[],[],"['2001768', '2001764', '2001766']",[]
Bromeliaceae,Aechmea fosteriana,[],[],"['2000041', '2000043', '2000048']",[]
Bromeliaceae,Aechmea fraseri,['1020249'],[],"['1020251', '1020250', '1020252']",[]
Bromeliaceae,Aechmea fulgens,[],[],"['1010445', '1010446', '1010447']",[]
Bromeliaceae,Aechmea gamosepala,[],[],"['2008845', '2008846', '2008849']",[]
Bromeliaceae,Aechmea guaratingensis,[],[],"['2003438', '2003439', '2003436']",[]
Bromeliaceae,Aechmea gustavoi,[],[],"['2007498', '2007503', '2007501']",[]
Bromeliaceae,Aechmea huebneri,[],[],"['2008291', '2008290', '2008289']",[]
Bromeliaceae,Aechmea incompta,[],[],"['2009577', '2009579', '2009581']",[]
Bromeliaceae,Aechmea lamarchei,[],[],"['2005795', '2005798', '2005796']",[]
Bromeliaceae,Aechmea lasseri,[],[],"['2017237', '2017238', '2017241']",[]
Bromeliaceae,Aechmea leonard-kentiana,[],[],"['2004230', '2004225', '2004226']",[]
Bromeliaceae,Aechmea leptantha,[],[],"['2009582', '2009583', '2009585']",[]
Bromeliaceae,Aechmea limae,[],[],"['1207536', '1207534', '1207537']",[]
Bromeliaceae,Aechmea linharesiorum,[],[],"['2007725', '2007726', '2007728']",[]
Bromeliaceae,Aechmea macrochlamys,[],[],"['2004840', '2004841', '2004842']",[]
Bromeliaceae,Aechmea marginalis,[],[],"['2009497', '2009499', '2009502']",[]
Bromeliaceae,Aechmea mertensii,[],[],"['2007733', '2007734', '2007736']",[]
Bromeliaceae,Aechmea mollis,[],[],"['2005289', '2005288', '2005293']",[]
Bromeliaceae,Aechmea multiflora,[],[],"['2005773', '2005772', '2005777']",[]
Bromeliaceae,Aechmea nudicaulis,[],[],"['1213798', '1213793', '1213794']",[]
Bromeliaceae,Aechmea orlandiana,[],[],"['1200507', '1200506', '1200505']",[]
Bromeliaceae,Aechmea ornata,[],[],"['1212606', '1212601', '1212602']",[]
Bromeliaceae,Aechmea paniculata,[],[],"['2009801', '2009796', '2009798']",[]
Bromeliaceae,Aechmea paradoxa,[],[],"['2009592', '2009590', '2009596']",[]
Bromeliaceae,Aechmea pectinata,[],[],"['1215056', '1215061', '1215058']",[]
Bromeliaceae,Aechmea pedicellata,[],[],"['2009787', '2009790', '2009788']",[]
Bromeliaceae,Aechmea penduliflora,[],[],"['2008850', '2008852', '2008851']",[]
Bromeliaceae,Aechmea pendulispica,[],[],"['2008546', '2008547', '2008548']",[]
Bromeliaceae,Aechmea phanerophlebia,[],[],"['1020313', '1020314', '1020315']",[]
Bromeliaceae,Aechmea racinae,[],[],"['1214257', '1214258', '1214256']",[]
Bromeliaceae,Aechmea ramosa,[],[],"['2006805', '2006807', '2006808']",[]
Bromeliaceae,Aechmea recurvata,[],[],"['2004048', '2004042', '2004044']",[]
Bromeliaceae,Aechmea recurvipetala,[],[],"['1215920', '1215923', '1215925']",[]
Bromeliaceae,Aechmea rubrolilacina,['1011298'],[],"['1011299', '1011300', '1011301']",[]
Bromeliaceae,Aechmea saxicola,[],[],"['2007813', '2007819', '2007815']",[]
Bromeliaceae,Aechmea serragrandensis,[],[],"['2004234', '2004239', '2004241']",[]
Bromeliaceae,Aechmea smithiorum,[],[],"['2007823', '2007821', '2007822']",[]
Bromeliaceae,Aechmea sphaerocephala,[],[],"['2004244', '2004242', '2004247']",[]
Bromeliaceae,Aechmea subintegerrima,[],[],"['2007504', '2007509', '2007508']",[]
Bromeliaceae,Aechmea tayoensis,[],[],"['2005537', '2005539', '2005541']",[]
Bromeliaceae,Aechmea tessmannii,[],[],"['2009599', '2009597', '2009598']",[]
Bromeliaceae,Aechmea tomentosa,[],[],"['1215713', '1215715', '1215716']",[]
Bromeliaceae,Aechmea triangularis,[],[],"['2007834', '2007830', '2007831']",[]
Bromeliaceae,Aechmea vallerandii,[],[],"['2009561', '2009558', '2009559']",[]
Bromeliaceae,Aechmea victoriana,[],[],"['2008853', '2008856', '2008854']",[]
Bromeliaceae,Aechmea viridostigma,[],[],"['2007562', '2007559', '2007563']",[]
Bromeliaceae,Aechmea warasii,[],[],"['1010051', '1010052', '1010053']",[]
Bromeliaceae,Aechmea weberbaueri,[],[],"['1010815', '1010816', '1010817']",[]
Bromeliaceae,Aechmea weberi,[],[],"['2009297', '2009299', '2009300']",[]
Bromeliaceae,Aechmea weilbachii,[],[],"['1209836', '1209839', '1209840']",[]
Bromeliaceae,Aechmea zebrina,[],[],"['2009603', '2009601', '2009602']",[]
Primulaceae,Aegiceras corniculatum,[],[],"['2004431', '2004425', '2004428']",[]
Rutaceae,Aegle marmelos,['1200461'],[],"['1200457', '1200456', '1200464']",[]
Apiaceae,Aegopodium podagraria,['1015811'],"['2012448', '2012449']","['1015812', '1015813', '1015814']",[]
Crassulaceae,Aeonium canariensis,[],"['2014732', '2014733']",[],[]
Orchidaceae,Aerides multiflora,[],[],"['1019169', '1019170', '1019171']",[]
Gesneriaceae,Aeschynanthus marmoratus,['1010008'],[],"['1010010', '1010011', '1010012']",[]
Gesneriaceae,Aeschynanthus tricolor,['1205595'],[],"['1205587', '1205589', '1205585']",[]
Sapindaceae,Aesculus carnea,['1022678'],"['1022681', '1022682']","['1022684', '1022685', '1022686']","['1022694', '1022695', '1022696']"
Sapindaceae,Aesculus flava,['1017074'],[],"['1017075', '1017076', '1017077']",[]
Sapindaceae,Aesculus glabra,[],[],"['1019265', '1019266', '1019267']",[]
Sapindaceae,Aesculus hippocastanum,['1022666'],"['1022668', '1022669']","['1016569', '1016570', '1016571']","['1022673', '1022674', '1022675']"
Sapindaceae,Aesculus parviflora,[],"['2015556', '2015557']",[],[]
Brassicaceae,Aethionema grandiflora,['1010900'],[],"['1010901', '1010902', '1010903']",[]
Brassicaceae,Aethionema saxatile,['1206807'],[],"['1206655', '1206653', '1206654']",[]
Apiaceae,Aethusa cynapium,[],"['2012460', '2012461']",[],[]
Amaryllidaceae,Agapanthus africanus,['2018269'],[],"['2018270', '2018271', '2018272']",[]
Amaryllidaceae,Agapanthus umbellatus,['1015400'],[],"['1015402', '1015403', '1015404']",[]
Ericaceae,Agapetes macrantha,['1016411'],[],"['1016412', '1016413', '1016414']",[]
Ericaceae,Agapetes variegata,['1019436'],[],"['1019437', '1019438', '1019439']",[]
Lamiaceae,Agastache mexicana,[],"['2016759', '2016760']","['2002935', '2002937', '2002932']",[]
Ericaceae,Agauria salicifolia,[],"['2016045', '2016046']",[],[]
Asparagaceae,Agave amica,['2010556'],[],"['2010566', '2010560', '2010561']",[]
Asparagaceae,Agave attenuata,[],"['2015406', '2015407']",[],[]
Asparagaceae,Agave wislizeni,[],[],"['1203567', '1203571', '1203568']",[]
Asteraceae,Ageratum conyzoides,['2005646'],"['2015649', '2015650']","['2005652', '2005648', '2005649']",[]
Asteraceae,Ageratum houstonianum,[],"['2014918', '2014919']",[],[]
Meliaceae,Aglaia elliptica,[],[],"['2000593', '2000595', '2000596']",[]
Meliaceae,Aglaia odorata,[],[],"['1207127', '1207129', '1207131']",[]
Araceae,Aglaodorum griffithii,[],[],['1019561'],[]
Rosaceae,Agrimonia eupatoria,['1022356'],"['1022358', '1022359']","['1022361', '1022362', '1022363']","['1022367', '1022368', '1022370']"
Rosaceae,Agrimonia odorata,[],"['2014304', '2014305']",[],[]
Rosaceae,Agrimonia pilosa,[],"['2016780', '2016781']",[],[]
Poaceae,Agropyron repens,[],"['2014016', '2014017']",[],[]
Caryophyllaceae,Agrostemma githago,['1012583'],"['2011122', '2011123']","['1012584', '1012585', '1012586']",[]
Poaceae,Agrostis rupestris,['2008736'],[],"['2008744', '2008738', '2008742']",[]
Simaroubaceae,Ailanthus altissima,['1021619'],"['1021621', '1021622']","['1021625', '1021626', '1021627']","['1021634', '1021635', '1021636']"
Asteraceae,Ainsliaea aptera,[],"['2015643', '2015644']",[],[]
Lamiaceae,Ajuga chamaepitys,['1017591'],"['2012856', '2012857']","['1017593', '1017594', '1017595']",[]
Lamiaceae,Ajuga genevensis,[],"['2012850', '2012851']","['1011681', '1011682', '1011683']",[]
Lamiaceae,Ajuga incisia,[],[],"['2006644', '2006645', '2006646']",[]
Lamiaceae,Ajuga pyramidalis,[],"['2012853', '2012854']",[],[]
Lamiaceae,Ajuga reptans,['1023225'],"['1023229', '1023230']","['1023234', '1023235', '1023237']","['1023240', '1023241', '1023242']"
Lardizabalaceae,Akebia quinata,['2005544'],[],"['2005552', '2005635', '1012683']",[]
Cornaceae,Alangium platanifolium,['1213537'],[],"['1213538', '1213535', '1213540']",[]
Fabaceae,Albizia julibrissin,['1213097'],[],"['1213098', '1213099', '1213103']",[]
Fabaceae,Albizia lebbeck,['2005996'],[],"['2005997', '2005998', '2005999']",[]
Fabaceae,Albizia saman,['2007840'],"['2016291', '2016292']","['2007837', '2007839', '2007838']",[]
Asparagaceae,Albuca spiralis,['2009650'],[],"['2009655', '2009653', '2009654']",[]
Bromeliaceae,Alcantarea nigripetala,[],[],"['2002741', '2002742', '2002740']",[]
Bromeliaceae,Alcantarea vinicolor,[],[],"['1211289', '1211285', '1211290']",[]
Malvaceae,Alcea ficifolia,['1211751'],[],"['1211641', '1211639', '1211642']",[]
Malvaceae,Alcea rosea,[],"['2016831', '2016832']",[],[]
Alismataceae,Alisma lanceolatum,['1013443'],"['2013797', '2013798']","['1013445', '1013446', '1013447']",[]
Alismataceae,Alisma plantago-aquatica,['1018266'],"['2013794', '2013795']","['1018267', '1018268', '1018269']",[]
Boraginaceae,Alkanna corcyrensis,[],[],"['2001505', '2001506', '2001508']",[]
Boraginaceae,Alkanna orientalis,['1020081'],"['2017832', '2017833']","['1020082', '1020083', '1020084']",[]
Brassicaceae,Alliaria petiolata,['1022137'],"['1022139', '1022140']","['1022142', '1022143', '1022144']","['1022148', '1022149', '1022150']"
Amaryllidaceae,Allium ampeloprasum,['2003289'],[],"['2003299', '2003293', '2003294']",[]
Amaryllidaceae,Allium angulosum,[],"['2014310', '2014311']","['1216625', '1216623', '1216626']",[]
Amaryllidaceae,Allium atropurpureum,[],[],"['2006006', '2006010', '2006005']",[]
Amaryllidaceae,Allium carinatum,['1013975'],"['2013857', '2013858']","['1013976', '1013977', '1013978']",[]
Amaryllidaceae,Allium cepa,['1014835'],"['2013836', '2013837']","['1014836', '1014837', '1014838']",[]
Amaryllidaceae,Allium croaticum,[],[],"['1200427', '1200429', '1200428']",[]
Amaryllidaceae,Allium fistulosum,[],"['2013839', '2013840']",[],[]
Amaryllidaceae,Allium flavum,['1010322'],"['2013854', '2013855']","['1010323', '1010324', '1010325']",[]
Amaryllidaceae,Allium montanum,[],"['2014313', '2014314']","['1216649', '1216653', '1216650']",[]
Amaryllidaceae,Allium moschatum,['2009184'],[],"['2009190', '2009187', '2009192']",[]
Amaryllidaceae,Allium nigrum,[],[],"['2009867', '2009869', '2009863']",[]
Amaryllidaceae,Allium oleraceum,['1018554'],"['2013851', '2013852']","['1018555', '1018556', '1018557']",[]
Amaryllidaceae,Allium pallens,['2009950'],[],"['2009952', '2009956', '2009953']",[]
Amaryllidaceae,Allium paniculatum,['2006970'],[],"['2006976', '2006977', '2006973']",[]
Amaryllidaceae,Allium paradoxum,['1018997'],[],"['1018998', '1018999', '1019000']",[]
Amaryllidaceae,Allium roseum,[],"['2013866', '2013867']","['2001955', '2001957', '2001960']",[]
Amaryllidaceae,Allium rotundum,[],[],"['1010354', '1010355', '1010356']",[]
Amaryllidaceae,Allium schoenoprasum,[],"['2013842', '2013843']",[],[]
Amaryllidaceae,Allium scorodoprasum,['1018657'],"['2013869', '2013870']","['1018658', '1018659', '1018660']",[]
Amaryllidaceae,Allium senescens,['1209623'],[],"['1209626', '1209628', '1209632']",[]
Amaryllidaceae,Allium sphaerocephalon,[],"['2013848', '2013849']",[],[]
Amaryllidaceae,Allium sphaerocephalum,['2003701'],[],"['2003708', '2003703', '2003706']",[]
Amaryllidaceae,Allium suaveolens,[],"['2014316', '2014317']",[],[]
Amaryllidaceae,Allium subhirsutum,['2017377'],[],"['2017251', '2017249', '2017250']",[]
Amaryllidaceae,Allium triquetrum,[],"['2013863', '2013864']",[],[]
Amaryllidaceae,Allium tuberosum,[],"['2015688', '2015689']",[],[]
Amaryllidaceae,Allium ursinum,['1021055'],"['1021056', '1021057']","['1014111', '1014113', '1014112']","['1021060', '1021061', '1021062']"
Amaryllidaceae,Allium victorialis,['1206189'],"['2013875', '2013876']","['1206179', '1206184', '1206181']",[]
Amaryllidaceae,Allium vineale,[],"['2013845', '2013846']","['1216645', '1216644', '1216642']",[]
Amaryllidaceae,Allium zebdanense,['2004641'],[],"['2004642', '2004645', '2004647']",[]
Betulaceae,Alnus alnobetula,[],"['2010936', '2010937']",[],[]
Betulaceae,Alnus glutinosa,['1022548'],"['1022550', '1022551']","['1012534', '1022554', '1022555']","['1022560', '2000740', '1022562']"
Betulaceae,Alnus incana,['1010836'],"['2010942', '2010943']","['1010837', '1010838', '1010839']",[]
Betulaceae,Alnus viridis,[],[],"['1013460', '1013461', '1013462']",[]
Araceae,Alocasia brisbanensis,[],[],"['1022545', '1022546', '1022547']",[]
Araceae,Alocasia lauterbachiana,[],[],[],['1021903']
Xanthorrhoeaceae,Aloe somaliensis,['1207080'],[],"['1207079', '1207072', '1207075']",[]
Poaceae,Alopecurus geniculatus,['1012291'],[],"['1012292', '1012293', '1012294']",[]
Poaceae,Alopecurus pratensis,['1022700'],"['1022703', '1022704']","['1022706', '1022707', '1022708']","['1022714', '1022715', '1022716']"
Zingiberaceae,Alpinia oxymitra,['2005553'],[],"['2005556', '2005560', '2005558']",[]
Zingiberaceae,Alpinia zerumbet,[],"['2015610', '2015611']",[],[]
Malvaceae,Althaea cannabina,[],"['2012265', '2012266']",[],[]
Malvaceae,Althaea hirsuta,[],[],"['2009828', '2009823', '2009827']",[]
Malvaceae,Althaea officinalis,[],"['2012268', '2012269']",[],[]
Brassicaceae,Alyssoides utriculata,['2008502'],[],"['2008462', '2008460', '2008461']",[]
Brassicaceae,Alyssum alyssoides,['1017106'],[],"['1017107', '1017108', '1017109']",[]
Brassicaceae,Alyssum hirsutum,[],"['2015877', '2015878']",[],[]
Brassicaceae,Alyssum montanum,[],"['2011518', '2011519']","['1021819', '1021820', '1021821']",[]
Brassicaceae,Alyssum murale,['2009961'],[],"['2009963', '2009962', '2009968']",[]
Brassicaceae,Alyssum pyreniacum,[],"['2016510', '2016511']",[],[]
Brassicaceae,Alyssum repens,[],"['2014319', '2014320']",[],[]
Brassicaceae,Alyssum saxatile,[],"['2015352', '2015353']",[],[]
Brassicaceae,Alyssum wulfenianum,[],"['2014322', '2014323']",[],[]
Amaranthaceae,Amaranthus blitum,[],[],"['2001192', '2001193', '2001196']",[]
Amaranthaceae,Amaranthus caudatus,[],"['2015538', '2015539']",[],[]
Amaranthaceae,Amaranthus hybridus,[],"['2014325', '2014326']",[],[]
Amaranthaceae,Amaranthus retroflexus,['1212588'],"['2011059', '2011060']","['1212585', '1212587', '1212589']",[]
Amborellaceae,Amborella trichopoda,[],[],"['2001330', '2001328', '2001329']",[]
Asteraceae,Ambrosia arborescens,[],"['2016201', '2016202']",[],[]
Asteraceae,Ambrosia artemisiifolia,['1214445'],"['1214414', '1214413']","['1214424', '1013855', '1214421']","['1214427', '1214432', '1214431']"
Araceae,Ambrosina bassii,['1017066'],"['1017067', '1017068']","['1017069', '1017070', '1017071']",[]
Rosaceae,Amelanchier ovalis,['1019451'],"['1014278', '1014279']","['1019452', '1019453', '1019454']","['1014283', '1014284', '1014285']"
